wandb: Currently logged in as: 22373442 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /autodl-fs/data/wandb/run-20250211_200233-m2nxc7qs
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run PatchTST_action-im_yzt_im
wandb: ⭐️ View project at https://wandb.ai/22373442/LLM_signal
wandb: 🚀 View run at https://wandb.ai/22373442/LLM_signal/runs/m2nxc7qs
Epoch [1/200], Loss: 1.5630251169204712
best/test_loss 1.4432522058486938, best/test_acc: 0.4909090909090909
Epoch [2/200], Loss: 1.2765848636627197
best/test_loss 1.0864671468734741, best/test_acc: 0.4909090909090909
Epoch [3/200], Loss: 1.018935203552246
best/test_loss 0.975551962852478, best/test_acc: 0.4909090909090909
Epoch [4/200], Loss: 0.9217458963394165
best/test_loss 0.9223104119300842, best/test_acc: 0.5636363636363636
Epoch [5/200], Loss: 0.8769757747650146
best/test_loss 0.9001017212867737, best/test_acc: 0.5636363636363636
Epoch [6/200], Loss: 1.0053352117538452
best/test_loss 0.9001017212867737, best/test_acc: 0.5636363636363636
Epoch [7/200], Loss: 0.892992377281189
best/test_loss 0.8855323195457458, best/test_acc: 0.5636363636363636
Epoch [8/200], Loss: 0.9726849794387817
best/test_loss 0.8855323195457458, best/test_acc: 0.5636363636363636
Epoch [9/200], Loss: 0.838854968547821
best/test_loss 0.8489423394203186, best/test_acc: 0.5636363636363636
Epoch [10/200], Loss: 0.8950904607772827
best/test_loss 0.7959542274475098, best/test_acc: 0.6363636363636364
Epoch [11/200], Loss: 0.8156660199165344
best/test_loss 0.7122993469238281, best/test_acc: 0.7636363636363637
Epoch [12/200], Loss: 0.7772426009178162
best/test_loss 0.7122993469238281, best/test_acc: 0.7636363636363637
Epoch [13/200], Loss: 0.7377399206161499
best/test_loss 0.6601952314376831, best/test_acc: 0.7636363636363637
Epoch [14/200], Loss: 0.8293536901473999
best/test_loss 0.591626763343811, best/test_acc: 0.7818181818181819
Epoch [15/200], Loss: 0.7225058078765869
best/test_loss 0.591626763343811, best/test_acc: 0.7818181818181819
Epoch [16/200], Loss: 0.6679525375366211
best/test_loss 0.5193139910697937, best/test_acc: 0.8727272727272727
Epoch [17/200], Loss: 0.6588197350502014
best/test_loss 0.4670659601688385, best/test_acc: 0.8727272727272727
